Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2020-01-02,72.4005126953125,72.46077614730521,71.15667416341765,71.40977771923563,135480400
2020-01-03,71.6966323852539,72.45595040957373,71.47245410922795,71.6291376132339,146322800
2020-01-06,72.26792907714844,72.30649856939735,70.5685026643333,70.81920068576198,118387200
2020-01-07,71.92805480957031,72.53309491165653,71.70869494472285,72.2775784441153,108872000
2020-01-08,73.08509826660156,73.38641550034151,71.63154422529517,71.63154422529517,132079200
2020-01-09,74.63749694824219,74.83033706552648,73.81068409472688,74.06137477592067,170108400
2020-01-10,74.80623626708984,75.370308736383,74.30484750773756,74.87132551313572,140644800
2020-01-13,76.40442657470703,76.43094632364196,75.0039042885127,75.1220256778742,121532000
2020-01-14,75.3727035522461,76.55146021431688,75.24977111147209,76.34174457661803,161954400
2020-01-15,75.04969024658203,76.05247495120804,74.61820187883205,75.17263004032235,121923600
2020-01-16,75.98982238769531,76.10071246852102,75.23050414086309,75.59208495900991,108829200
2020-01-17,76.8310775756836,76.83348311126043,75.9319442855303,76.2380799522902,137816400
2020-01-21,76.31039428710938,76.90097161406028,76.17299187168369,76.45984644857143,110843200
2020-01-22,76.58280181884766,77.13480977194556,76.48878729766383,76.79492300181599,101832400
2020-01-23,76.95161437988281,77.03115890447519,76.08863757604202,76.63583446102108,104472000
2020-01-24,76.7298583984375,77.93994620320352,76.53942377731238,77.1975035046655,146537600
2020-01-27,74.47357177734375,75.15333787807808,73.4924810810553,74.74113795467083,161940000
2020-01-28,76.58038330078125,76.75152944120848,75.25458738363722,75.35342032568062,162234000
2020-01-29,78.18340301513672,79.02950436307852,77.46988569545148,78.20992276333985,216229200
2020-01-30,78.0700912475586,78.12312337660362,76.83589699674123,77.26738534868132,126743200
2020-01-31,74.60858154296875,77.78325671620777,74.31449554353281,77.3614124669731,199588400
2020-02-03,74.40367889404297,75.56796570063159,72.85129158100523,73.35268032975995,173788400
2020-02-04,76.86000061035156,77.05043515977154,75.60169956180454,76.00666815397705,136616400
2020-02-05,77.48674011230469,78.28462753135985,76.88410566550306,77.98571584340952,118826800
2020-02-06,78.39311981201172,78.39553270453209,77.19990767879175,77.75674147890366,105425600
2020-02-07,77.32755279541016,78.14183107037995,76.8370524098855,77.89295663582978,117684000
2020-02-10,77.6948013305664,77.6948013305664,75.83428641741939,75.91401971596468,109348800
2020-02-11,77.22604370117188,78.26262078747321,77.00858188468877,78.19013597325772,94323200
2020-02-12,79.05997467041016,79.06480453243836,77.6754560073924,77.6754560073924,113730400
2020-02-13,78.49701690673828,78.82321339617904,78.12974813739189,78.33271303943899,94747600
2020-02-14,78.51634216308594,78.7652165546687,78.00892627887556,78.4655954129786,80113600
2020-02-18,77.07865905761719,77.25987847546425,76.01791785904396,76.19913727689102,152531200
2020-02-19,78.19499969482422,78.42454732896218,77.32031481331299,77.32031481331299,93984000
2020-02-20,77.39276885986328,78.44384294584167,76.88777163956716,77.95576130740083,100566000
2020-02-21,75.64097595214844,77.42901329626612,75.0248329307541,76.98683382307465,129554000
2020-02-24,72.0479965209961,73.4977516680358,69.88544951763012,71.8257048611315,222195200
2020-02-25,69.6075668334961,73.09906307526451,69.13640088272064,72.71729750302329,230673600
2020-02-26,70.71183013916016,71.97553646481957,69.22583207719232,69.23308056046676,198054800
2020-02-27,66.08949279785156,69.10498573923513,65.95418292617104,67.92102067511314,320605600
2020-02-28,66.05086517333984,67.27108062705318,61.94564270332902,62.16069333508348,426510000
2020-03-02,72.20022583007812,72.83570304979878,67.10433710214947,68.20615048257532,341397200
2020-03-03,69.90718841552734,73.45425390683425,69.05666075629888,73.37452062569925,319475600
2020-03-04,73.14982604980469,73.30930003617219,70.82780458094045,71.62758575768213,219178400
2020-03-05,70.77708435058594,72.37905838233362,70.41222676608287,71.40530599103305,187572800
2020-03-06,69.83712768554688,70.26964007470336,67.9524487742093,68.13849804691934,226176800
2020-03-09,64.31356811523438,67.19374467213605,63.54761077884886,63.72883020122201,286744800
2020-03-10,68.94554901123047,69.21133903609883,65.08678222072572,66.96422060751131,285290000
2020-03-11,66.55101776123047,67.95003374263217,65.68841155580724,67.0246098194062,255598800
2020-03-12,59.97880172729492,65.23899909398826,59.92322879744106,61.8417392125565,418474000
2020-03-13,67.16474914550781,67.63592258199654,61.11926832671573,64.00428573904365,370732000
2020-03-16,58.52421951293945,62.60044418179931,57.99022457275424,58.46139441002403,322423600
2020-03-17,61.0975227355957,62.245242026979696,57.60361074150865,59.80482274842446,324056000
2020-03-18,59.60186004638672,60.40647473225053,57.29433197423103,57.934642818544056,300233600
2020-03-19,59.145198822021484,61.09270335868853,58.62087096114338,59.77584268914572,271857200
2020-03-20,55.39032745361328,60.848656123776394,55.09070998430256,59.72509337905043,401693200
2020-03-23,54.213600158691406,55.21151627155354,51.372080998658355,55.11003383943649,336752800
2020-03-24,59.652610778808594,59.848327192203485,56.61295613694801,57.110704962845915,287531200
2020-03-25,59.3239860534668,62.39988241978959,59.02920219006361,60.58768835145107,303602000
2020-03-26,62.44580841064453,62.50379627651141,59.52696661828964,59.56562765348039,252087200
2020-03-27,59.860408782958984,61.8248250722316,59.69368630258447,61.07095335601888,204216800
2020-03-30,61.568695068359375,61.740251079824446,60.26149806281595,60.585279571290975,167976400
2020-03-31,61.44304656982422,63.4243781505614,60.88972489834924,61.75957958595021,197002000
2020-04-01,58.2100944519043,60.09719207609643,57.78000065964953,59.56078230159109,176218400
2020-04-02,59.18143844604492,59.234596446659125,57.241182484383906,58.072376290076036,165934000
2020-04-03,58.33090591430664,59.36747934105108,57.74133816366961,58.666765747737614,129880000
2020-04-06,63.41957473754883,63.574211538817984,60.25669137105302,60.62396022617738,201820400
2020-04-07,62.68502426147461,65.64977966262208,62.581126863045085,65.43231038835073,202887200
2020-04-08,64.28939056396484,64.60350121398153,63.1199223551124,63.48477236807488,168895200
2020-04-09,64.7533187866211,65.25590475851683,63.95837493137018,64.92487847473,161834800
2020-04-13,66.02427673339844,66.13301133720609,64.23140932290158,64.83064420547504,131022800
2020-04-14,69.35871887207031,69.64867293181604,67.1840855454915,67.6552590491188,194994800
2020-04-15,68.72563934326172,69.18472698748576,67.80746405481365,68.23513915845088,131154400
2020-04-16,69.27171325683594,69.63657063800945,68.22305798705365,69.43843567778042,157125200
2020-04-17,68.33180236816406,69.33455576393993,66.89654391550201,68.78847886393716,215250000
2020-04-20,66.91345977783203,68.06118282102301,66.89413295001411,67.15992291899424,130015200
2020-04-21,64.84515380859375,66.99079338426836,64.13477293897611,66.75641592219942,180991600
2020-04-22,66.71292877197266,67.14785254874984,65.77058900639604,66.11127511969602,116862400
2020-04-23,66.45438385009766,68.07811050746528,66.41572281375096,66.65734876053877,124814400
2020-04-24,68.37287902832031,68.38254612868516,66.93037215656294,66.97870028455014,126161200
2020-04-27,68.42121887207031,68.7522452213369,67.64318307081028,68.09018514896542,117087600
2020-04-28,67.31214141845703,69.06392923095741,67.22032976851494,68.88270980207805,112004800
2020-04-29,69.52301788330078,69.991772685642,68.59517537860054,68.79814023520653,137280800
2020-04-30,70.98967742919922,71.16606696831562,69.67282086621682,70.06183497622997,183064000
2020-05-01,69.8468017578125,72.24614521202258,69.06876605288338,69.16541493960355,240616800
2020-05-04,70.83505249023438,70.96311392727311,69.1823321546666,69.87096747127923,133568000
2020-05-05,71.89820861816406,72.7294023781066,71.14916678667844,71.29414381435919,147751200
2020-05-06,72.64000701904297,73.27064717863384,72.21474300795924,72.59892736503848,142333600
2020-05-07,73.39144897460938,73.73697961793019,72.96377378346223,73.26580616038919,115215200
2020-05-08,75.13829803466797,75.19159993074032,73.72338371341871,74.05046319414457,133838400
2020-05-11,76.32061767578125,76.81486350373997,74.4380975285037,74.64646215282984,145946400
2020-05-12,75.44841003417969,77.45448798811958,75.32727004325628,77.00384337710936,162301200
2020-05-13,74.53742218017578,76.54835012163572,73.46169865336998,75.62768191190082,200622400
2020-05-14,74.995361328125,75.05593133463293,73.05469595359499,73.77669309293739,158929200
2020-05-15,74.55197143554688,74.59800522378177,72.73487156458532,72.7687943111998,166348400
2020-05-18,76.30847930908203,76.68159244527139,75.18430435781794,75.87480358845401,135178400
2020-05-19,75.86756134033203,77.17102150533867,75.83606375790906,76.32546668705436,101729600
2020-05-20,77.34304809570312,77.41330397310716,76.68646396339064,76.72522965116472,111504800
2020-05-21,76.76642608642578,77.74523944094076,76.52898900422082,77.204952332668,102688800
2020-05-22,77.26067352294922,77.34304783651851,76.40300024409417,76.50475370458611,81803200
2020-05-26,76.73734283447266,78.55686050645615,76.68161577577496,78.37757568234818,125522000
2020-05-27,77.0716781616211,77.21704762323688,75.85543536682479,76.59439371595593,112945200
2020-05-28,77.10560607910156,78.36303980666368,76.47083369438819,76.74702903556799,133560800
2020-05-29,77.03050231933594,77.80821903420895,76.67435043039059,77.34788852176631,153532400
2020-06-01,77.97782135009766,78.09896135300481,76.8536385740957,76.98447184749915,80791200
2020-06-02,78.33881378173828,78.36304326033381,77.27035810172477,77.71130947324757,87642800
2020-06-03,78.77006530761719,79.03173182452788,78.08683399477036,78.65861858793946,104491200
2020-06-04,78.0916976928711,78.8912188000404,77.71858439241902,78.59321910796065,87560400
2020-06-05,80.31581115722656,80.3763811505578,78.31215843959637,78.34123085338769,137250400
2020-06-08,80.79069519042969,80.82461794300563,79.30309967941871,80.01297837924804,95654400
2020-06-09,83.34188842773438,83.73438081455681,80.43937898287314,80.47087656345983,147712400
2020-06-10,85.48606872558594,85.95366732051313,83.85067883247099,84.28920501230608,166651600
